id|name|value_id|value_name|value_struct|values|site_id|title|subtitle|seller_id|category_id|official_store_id|price|base_price|original_price|currency_id|initial_quantity|available_quantity|sold_quantity
MLA886510335|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast Con Google Tv 4k Hdmi Streaming Android Tv||119914491|MLA352001||14600.0|14600.0||ARS|1428|500|258
MLA906961402|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA| Chromecast 4ta Generacion Google Tv 4k Control De Voz 8gb||482880972|MLA352001||14299.0|14299.0||ARS|59|1|50
MLA906961402|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA| Chromecast 4ta Generacion Google Tv 4k Control De Voz 8gb||482880972|MLA352001||14299.0|14299.0||ARS|59|1|50
MLA906961402|Tiempo de garantía||6 meses|{'number': 6, 'unit': 'meses'}|[{'id': None, 'name': '6 meses', 'struct': {'number': 6, 'unit': 'meses'}}]|MLA| Chromecast 4ta Generacion Google Tv 4k Control De Voz 8gb||482880972|MLA352001||14299.0|14299.0||ARS|59|1|50
MLA927553491|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA| Chromecast With Google Tv  De Voz 4k 8gb  Snow Con 2gb Ram||276849773|MLA352001||13126.0|13126.0||ARS|61|1|5
MLA927553491|Tipo de garantía|2230279|Garantía de fábrica||[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]|MLA| Chromecast With Google Tv  De Voz 4k 8gb  Snow Con 2gb Ram||276849773|MLA352001||13126.0|13126.0||ARS|61|1|5
MLA927553491|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA| Chromecast With Google Tv  De Voz 4k 8gb  Snow Con 2gb Ram||276849773|MLA352001||13126.0|13126.0||ARS|61|1|5
MLA914385329|Tiempo de garantía||6 meses|{'number': 6, 'unit': 'meses'}|[{'id': None, 'name': '6 meses', 'struct': {'number': 6, 'unit': 'meses'}}]|MLA|Chromecast With Google Tv Control Voz 4k 2gb Ram Hdmi Wifi||86898163|MLA352001||13689.0|13689.0||ARS|126|50|25
MLA914385329|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Chromecast With Google Tv Control Voz 4k 2gb Ram Hdmi Wifi||86898163|MLA352001||13689.0|13689.0||ARS|126|50|25
MLA914385329|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Chromecast With Google Tv Control Voz 4k 2gb Ram Hdmi Wifi||86898163|MLA352001||13689.0|13689.0||ARS|126|50|25
MLA856774527|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3ra Generacion 2018 Smart Tv Bulk Sin Caja||309453406|MLA352001||5099.0|5099.0||ARS|3525|500|500
MLA856774527|Tiempo de garantía||6 meses|{'number': 6, 'unit': 'meses'}|[{'id': None, 'name': '6 meses', 'struct': {'number': 6, 'unit': 'meses'}}]|MLA|Google Chromecast 3ra Generacion 2018 Smart Tv Bulk Sin Caja||309453406|MLA352001||5099.0|5099.0||ARS|3525|500|500
MLA886507539|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast Con Google Tv 4k + Control Remoto||309453406|MLA352001||14600.0|14600.0||ARS|1170|500|155
MLA886507539|Tiempo de garantía||3 meses|{'number': 3, 'unit': 'meses'}|[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]|MLA|Google Chromecast Con Google Tv 4k + Control Remoto||309453406|MLA352001||14600.0|14600.0||ARS|1170|500|155
MLA886507539|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast Con Google Tv 4k + Control Remoto||309453406|MLA352001||14600.0|14600.0||ARS|1170|500|155
MLA770916413|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 Tv 3ra Generacion Conversor Smart Hdmi ||52270943|MLA352001||6799.0|6799.0||ARS|2991|1|1
MLA770916413|Tiempo de garantía||360 días|{'number': 360, 'unit': 'días'}|[{'id': None, 'name': '360 días', 'struct': {'number': 360, 'unit': 'días'}}]|MLA|Google Chromecast 3 Tv 3ra Generacion Conversor Smart Hdmi ||52270943|MLA352001||6799.0|6799.0||ARS|2991|1|1
MLA914384593|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA| Chromecast Google Tv 4k 8gb Blanco Control Remoto Voz||82274172|MLA352001||13499.0|13499.0||ARS|86|1|25
MLA914384593|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA| Chromecast Google Tv 4k 8gb Blanco Control Remoto Voz||82274172|MLA352001||13499.0|13499.0||ARS|86|1|25
MLA914384593|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA| Chromecast Google Tv 4k 8gb Blanco Control Remoto Voz||82274172|MLA352001||13499.0|13499.0||ARS|86|1|25
MLA759895299|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3 Generacion Smart Tv Usb Caja Original||86898163|MLA352001||6545.0|6545.0||ARS|2409|500|25
MLA759895299|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 Generacion Smart Tv Usb Caja Original||86898163|MLA352001||6545.0|6545.0||ARS|2409|500|25
MLA759895299|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Google Chromecast 3 Generacion Smart Tv Usb Caja Original||86898163|MLA352001||6545.0|6545.0||ARS|2409|500|25
MLA908898446|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast Ultra 4k Memoria Ram 1gb Netflix Sin Caja||309453406|MLA352001||9099.09|9099.09|9999|ARS|1046|500|25
MLA908898446|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast Ultra 4k Memoria Ram 1gb Netflix Sin Caja||309453406|MLA352001||9099.09|9099.09|9999|ARS|1046|500|25
MLA908898446|Tiempo de garantía||3 meses|{'number': 3, 'unit': 'meses'}|[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]|MLA|Google Chromecast Ultra 4k Memoria Ram 1gb Netflix Sin Caja||309453406|MLA352001||9099.09|9099.09|9999|ARS|1046|500|25
